"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5HW3cbxWJvQtrWTNO41pdk","Trödler & Co","spotify:artist:1oeiv9ZjFI1iT5cwzcGouh","Peter\, Sue & Marc","spotify:album:4EIrWICj6m8OmKZQHLDdTg","Io Senza Te (Die Originalsongs zum Musical / Remastered)","spotify:artist:1oeiv9ZjFI1iT5cwzcGouh","Peter\, Sue & Marc","2015-05-01","https://i.scdn.co/image/ab67616d0000b2732129e2b66962c29f47041578","1","10","168239","https://p.scdn.co/mp3-preview/e3e7d79086ddd09bd91ca4ebb26060c081c79293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","CHUM71500078","spotify:user:koen_verhulst","2021-06-25T19:43:39Z","mundart,swiss folk","0.716","0.807","1","-6.846","1","0.0594","0.127","0","0.0577","0.961","118.302","4"
"spotify:track:7r7Ak8Wova5GnojbGS3whz","Lapponia","spotify:artist:7w9tPKXjGqTQrH1uPdqPfh","Monica Aspelund","spotify:album:7nuxrdouPl3r7dS51rJXY7","Lapponia","spotify:artist:7w9tPKXjGqTQrH1uPdqPfh","Monica Aspelund","1977","https://i.scdn.co/image/ab67616d0000b273eeee51535d9678d93899a2a6","1","1","167000","https://p.scdn.co/mp3-preview/c3c76d9eb99aabac5642b7af0fee0a26e967824a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","FIFDP7700014","spotify:user:koen_verhulst","2021-06-27T11:53:45Z","classic finnish pop,classic iskelma","0.642","0.436","0","-11.192","1","0.0333","0.834","0.00000339","0.162","0.775","103.497","4"
"spotify:track:4wET5q7KgpBaIuKbmDhsGd","When","spotify:artist:4C0yuzB3XYhL1SuoOUHB27","Red Hurley","spotify:album:2DScKn3WfX1tURWl78mvfs","Sometimes","spotify:artist:4C0yuzB3XYhL1SuoOUHB27","Red Hurley","2008-10-28","https://i.scdn.co/image/ab67616d0000b273462403cddee489ef0e9cc42f","1","2","178226","https://p.scdn.co/mp3-preview/3ffd9e74c8e86fa95502aba9df72f82f480f7448?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","SEWDL0366301","spotify:user:koen_verhulst","2021-06-29T13:40:45Z","irish country","0.374","0.384","9","-15.121","1","0.0305","0.524","0.0235","0.116","0.298","79.157","4"
"spotify:track:0cV2WvoIDVYqnMzVQIljFQ","Un jardin sur la Terre","spotify:artist:3fR5PRhFohNbxEXDE69pUz","Serge Lama","spotify:album:6AuJMVEUmKtMUWaYUzyydm","Superman / Je Suis Malade","spotify:artist:3fR5PRhFohNbxEXDE69pUz","Serge Lama","1998-01-01","https://i.scdn.co/image/ab67616d0000b2738af4f670633162624851e958","1","3","187506","https://p.scdn.co/mp3-preview/9b8bd3bb9b73c94a6b93129532caff06e36ce5fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FRZ037100010","spotify:user:koen_verhulst","2021-07-05T12:44:44Z","chanson,french pop","0.377","0.57","0","-8.869","1","0.034","0.232","0.00000839","0.139","0.42","125.12","3"
"spotify:track:6qjTf8vArMndh5BalX4qGv","Marianne","spotify:artist:4ERMFbVCuwsv0eiUrG7LF3","Sergio Endrigo","spotify:album:3I41nPHRdOpInP57Noytru","Collection: Sergio Endrigo","spotify:artist:4ERMFbVCuwsv0eiUrG7LF3","Sergio Endrigo","2014-02-04","https://i.scdn.co/image/ab67616d0000b2736c924bb730738dacef7e3922","1","23","188586","https://p.scdn.co/mp3-preview/9497812a1c8c26a9eb3bc63459836328f4ca7b87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","ITD016803532","spotify:user:koen_verhulst","2021-07-05T15:46:51Z","canzone d'autore,classic italian pop","0.32","0.617","6","-10.464","1","0.0399","0.699","0.00743","0.159","0.503","116.883","4"
"spotify:track:54mp4tmF3nXH7Jeemy9Pqy","Playboy","spotify:artist:79fIqTWcjkzMOYTxHGbGKk","Ann Christine","spotify:album:17fDiuBqiBW95yhQS7QoPM","20 Suosikkia / Lalaika","spotify:artist:79fIqTWcjkzMOYTxHGbGKk","Ann Christine","1996","https://i.scdn.co/image/ab67616d0000b27334f75a0679c819da2301d971","1","11","124106","https://p.scdn.co/mp3-preview/70dc9fef44fa8b5eaace4d250dbc2e609fb458c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","FIFSC6600002","spotify:user:koen_verhulst","2021-07-06T13:04:05Z","classic finnish pop,classic iskelma","0.61","0.594","6","-5.725","0","0.0615","0.712","0","0.0605","0.606","127.383","4"
"spotify:track:2vD3OPkaC4NU0RvLltLfvP","Le Retour","spotify:artist:1MPh6jAeFMxNGkDSemWGZM","Jean Philippe","spotify:album:4cnt5yCFjpscKwqB0aeczf","Sparkling Memories Vol 4","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-01","https://i.scdn.co/image/ab67616d0000b2739f2ebac3aedac78ac6fb9711","1","12","183511","https://p.scdn.co/mp3-preview/559ead280561ca24a1867f724e865256b6225428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEKB71385339","spotify:user:koen_verhulst","2021-07-06T19:25:06Z","classic eurovision","0.386","0.585","7","-8.637","0","0.0831","0.758","0","0.91","0.487","117.186","3"
"spotify:track:7pf9HXbg5wcNJ84EjQKHAI","Kom Sol, Kom Regn","spotify:artist:2feMe4zwXCxU3hI3qjW94F","Inger Jacobsen","spotify:album:46Bhs9PTfFwohqjRfIjflB","Inger Jacobsen Vol.4. 1958 - 1962","spotify:artist:2feMe4zwXCxU3hI3qjW94F","Inger Jacobsen","2012-10-31","https://i.scdn.co/image/ab67616d0000b273846099512ef00a7bb6c0b65d","1","19","161053","https://p.scdn.co/mp3-preview/6d1a5f66f592e188d48d8256ffeb0fc63e4a2407?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","NONRM1235190","spotify:user:koen_verhulst","2021-07-06T19:28:27Z","classic norwegian pop,norske viser,vintage norwegian pop","0.21","0.252","10","-13.62","1","0.0323","0.892","0.00000439","0.354","0.168","93.552","4"
"spotify:track:2k5OAYsdVSjLmgHQxxfR5U","Vuggevise","spotify:artist:65GFogv7RBDqUWiSkSH29Y","Ellen Winther","spotify:album:4cnt5yCFjpscKwqB0aeczf","Sparkling Memories Vol 4","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-01","https://i.scdn.co/image/ab67616d0000b2739f2ebac3aedac78ac6fb9711","1","6","221336","https://p.scdn.co/mp3-preview/2e0e4be8572eec28731fb604dfb5e5b46fe69ef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","DEKB71385333","spotify:user:koen_verhulst","2021-07-06T19:34:26Z","","0.279","0.631","8","-8.299","1","0.0731","0.713","0","0.959","0.443","130.272","3"
"spotify:track:6U0jLB9NlF9DdvHaV2Pi6O","Wat Een Dag","spotify:artist:2oN2l6gZOI49B9LBJCSRbp","Greetje Kauffeld","spotify:album:57cvgpxstthuXJWIAnoBxz","Sparkling Memories Vol 5","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-03","https://i.scdn.co/image/ab67616d0000b273dd36c288728f9933c98ff3ad","1","7","226743","https://p.scdn.co/mp3-preview/d187d1fc804491275fa98d83bc36f76617cd9a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","DEKB71385317","spotify:user:koen_verhulst","2021-07-11T19:56:39Z","dutch jazz","0.473","0.348","7","-19.466","1","0.481","0.582","0","0.922","0.631","88.735","4"
"spotify:track:3jsqRFCFZwHYi5BPlTqxWU","Valoa ikkunassa","spotify:artist:4P0aDjtJ22Xaa0WyKwb3GP","Laila Kinnunen","spotify:album:6B88HChNIhOLC4iHFKMrcM","Laila Kinnunen","spotify:artist:4P0aDjtJ22Xaa0WyKwb3GP","Laila Kinnunen","1989","https://i.scdn.co/image/ab67616d0000b273cd690b8c4ed7669e15eea6a8","1","1","153933","https://p.scdn.co/mp3-preview/cd910456a123a14795ff125bd26ab181aa71564f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","FIFSC6100001","spotify:user:koen_verhulst","2021-07-11T20:00:53Z","classic finnish pop,classic finnish rock,classic iskelma,vintage finnish jazz","0.347","0.272","10","-10.265","0","0.0318","0.972","0.000262","0.104","0.414","100.858","4"
"spotify:track:3xSysXRdlCITE3KBxpCh9X","Allons, allons les enfants","spotify:artist:3t0v8vwkjGzF7J3G9vkAgl","Colette Deréal","spotify:album:3xf9QdRqSivO2XZx1623n0","Amour, soleil et cha-cha-cha ... - 20 succès","spotify:artist:3t0v8vwkjGzF7J3G9vkAgl","Colette Deréal","2012-03-01","https://i.scdn.co/image/ab67616d0000b273d1be15b76d48deb8d518ceba","1","10","136695","https://p.scdn.co/mp3-preview/816f28a48e508f0e69c5c585b6c546186aa78bde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA371675794","spotify:user:koen_verhulst","2021-07-11T20:03:48Z","classic eurovision","0.632","0.41","11","-9.496","1","0.0517","0.773","0","0.122","0.908","138.707","5"
