Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Russia;alexej vorobjov;get you;English (Russian);16.0;2011;5.809999999999999;1201;7JfpfeJhX4ZE7RAzEp1iXU
Switzerland;anna rossinelli;in love for a while;English;25.0;2011;6.677272727272726;1202;4GtO1RnTMOhGusfp63Q3MN
Georgia;eldrine;one more day;English;9.0;2011;5.129090909090909;1203;5eQiJEOdg7HCtWHn54TlPe
Finland;paradise oskar;da da dam;English;21.0;2011;6.16060606060606;1204;2rckqWWzE0HM3C6ZppBr0f
Malta;glen vella;one life;English;;2011;6.587999999999999;1205;3jUmg6CcfuBE0WDFmyPfnH
San Marino;senit;stand by;English;;2011;6.317499999999999;1206;2Zqr0vZrh8KlCISBCCNYAA
Croatia;daria;celebrate;English;;2011;6.253333333333334;1207;4p4mw9aWCgs6pPGOPFa054
Iceland;sjonni's friends;coming home;English;20.0;2011;5.997777777777777;1208;6aGXOEzfF3VZQgBECm63MX
Hungary;kati wolf;what about my dreams?;English/Hungarian;22.0;2011;6.29375;1209;0wRtmHyLpJJH5SHEC2H5Ji
Portugal;homens da luta;a luta é alegria;Portuguese;;2011;5.529655172413792;1210;2pcpfxIKOrsvNx1ASYK4us
Lithuania;evelina sašenko;c'est ma vie;English (French/ Sign language);19.0;2011;6.7228571428571415;1211;7g9su9k0fBQfDLDc2iNb12
Azerbaijan;ell/nikki;running scared;English;1.0;2011;6.248235294117649;1212;6nA43LwkBmljzdIs1GKZ8x
Greece;loucas yiorkas feat. stereo mike;watch my dance;English/Greek;7.0;2011;5.523333333333334;1213;0pWgTz7pBV4aQ7tjd2suxo
Bosnia and Herzegovina;dino merlin;love in rewind;English (Bosnian);6.0;2011;6.163684210526315;1214;60w4OUxN2PmTnlrgk4aRBX
Austria;nadine beiler;the secret is love;English;18.0;2011;6.466857142857142;1215;6w44eqrgNiCQqPNwGaTSSJ
Netherlands;3js;never alone;English;;2011;6.058888888888889;1216;3jFXVtn7ZUlcTnB3myO5Ym
