Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Norway;mørland & debrah scarlett;a monster like me;English;8.0;2015;5.705185185185185;1377;5ItPttWUpGtPedFVLhoCzN
Portugal;leonor andrade;há um mar que nos separa;Portuguese;;2015;5.711111111111111;1378;
Czech Republic;marta jandová & václav noid bárta;hope never dies;English;;2015;5.33375;1379;1k4PyasEAhyHu34Ru9bfLb
Israel;nadav guedj;golden boy;English;9.0;2015;6.164333333333333;1380;76SQ1MeAThYnjO9U9v6zZp
Latvia;aminata;love injected;English;6.0;2015;6.482727272727274;1381;1hWgnVgAhxwP2YDLWeh8xh
Azerbaijan;elnur huseynov;hour of the wolf;English;12.0;2015;5.61945945945946;1382;3XhbPuJJG3MlAP2exjHoVy
Iceland;maria olafs;unbroken;English;;2015;5.6657142857142855;1383;2HNAM0vurI7vKAYHu1Bz2t
Sweden;måns zelmerlöw;heroes;English;1.0;2015;6.056129032258066;1384;4ciaNqHWA2IzHphZaVRzHI
Switzerland;mélanie rené;time to shine;English;;2015;5.517187499999999;1385;6gHVLO8022RixiK0sS1XhK
Cyprus;john karayiannis;one thing i should have done;English;22.0;2015;6.0152;1386;2qkAIZZ3IiBTnwKvoyLLhq
Slovenia;maraaya;here for you;English;14.0;2015;5.063793103448274;1387;4zWtlv6VItQBvO4AXHrMvV
Poland;monika kuszyńska;in the name of love;English;23.0;2015;5.6875;1388;3QeIjbfwqVg9xwEKoxzfbN
France;lisa angell;n'oubliez pas;French;25.0;2015;5.971666666666667;1389;4khNyfoM49usoXWeW8KpL0
United Kingdom;electro velvet;still in love with you;English;24.0;2015;5.633090909090909;1390;4HtQzcTI6wh3Xjj4fAzz2l
Australia;guy sebastian;tonight again;English;5.0;2015;5.885882352941177;1391;0yaAFfayze82aoCTY2cxd7
Austria;the makemakes;i am yours;English;26.0;2015;5.692857142857143;1392;69lMeHeBoAkekQZROdMam2
Germany;ann sophie;black smoke;English;26.0;2015;5.150434782608696;1393;7Jw44GPatR76FwBwVIqdcg
Spain;edurne;amanecer;Spanish;21.0;2015;5.755882352941177;1394;2zHDsCjQGp7XqsqrrNR9t9
Italy;il volo;grande amore;Italian;3.0;2015;5.57344827586207;1395;0kvmefxq2QnrRPGOKJeb4F
Finland;sandhja;sing it away;English;;2016;5.07290322580645;1396;1cUeDCwZOdkLloflF7ZI15
Greece;argo;utopian land;Greek/English (Pontic Greek);;2016;6.148965517241378;1397;5MOjc4FmzbCbMd4mmQq8q9
Moldova;lidia isac;falling stars;English;;2016;5.486249999999999;1398;7gb3w8xWgszx40JIz0R0NN
Hungary;freddie;pioneer;English;19.0;2016;5.942000000000001;1399;6oedZ02tyJyBbGmMAnpNdR
Croatia;nina kraljić;lighthouse;English;23.0;2016;5.391785714285715;1400;1FIh3B7UJ6UTLiKFJtZnsm
Netherlands;douwe bob;slow down;English;11.0;2016;5.448695652173913;1401;3YHPxuqHwfYUhoTWoNDwZt
Armenia;iveta mukuchyan;lovewave;English;7.0;2016;6.022105263157895;1402;6F3waFskKCqXmiR5gaquey
San Marino;serhat;i didn't know;English;;2016;6.0346666666666655;1403;0KKRpAbvaaJyIk78GmTKeb
Russia;sergey lazarev;you are the only one;English;3.0;2016;5.795454545454544;1404;7ANprWfKB8UoNggroXtfUv
Czech Republic;gabriela gunčíková;i stand;English;25.0;2016;5.697391304347827;1405;1rjlAtGiXwrJE8Tpj4lZ40
Cyprus;minus one;alter ego;English (title Latin);21.0;2016;5.49896551724138;1406;6yj2sEcpIjR0fCHG9geuAZ
Austria;zoë;loin d'ici;French;13.0;2016;6.3075;1407;3BRBtijNjtOO9MrQnYATgT
Estonia;jüri pootsmann;play;English;;2016;6.120000000000001;1408;3tX3JXpYEJp8xKXxaNRN0a
Azerbaijan;samra;miracle;English;17.0;2016;5.864374999999999;1409;0etFNuOi2EMWBCE9EHJg11
Montenegro;highway;the real thing;English;;2016;6.21;1410;4uDYcfu5P1MrX7G2IhCj2L
Iceland;greta salóme;hear them calling;English;;2016;6.348461538461539;1411;5IIIR38OtnHnEcMvyOMsOe
Bosnia and Herzegovina;dalal & deen  feat. ana rucner & jala;ljubav je;Bosnian;;2016;5.777666666666667;1412;5odc4xvWcjZJ1au2ZIU5ie
Malta;ira losco;walk on water;English;12.0;2016;5.93;1413;6t9ECIs2ypkHQQ49VvhA3h
Latvia;justs;heartbeat;English;15.0;2016;5.123;1414;59YDuvEyFGZaId3dyFu8RN
Poland;michał szpak;color of your life;English;8.0;2016;5.3965625;1415;1zBK0FGAcAGCxAxO6jC680
Switzerland;rykka;the last of our kind;English;;2016;5.921874999999998;1416;5GXYlJNP7dKSOGkrMW1jsy
Israel;hovi star;made of stars;English;14.0;2016;6.541818181818181;1417;68pQBPFbW6XJG81KrSMluI
Belarus;ivan;help you fly;English;;2016;5.494444444444444;1418;2MlVjKpwffc77MQJHqIvjA
Serbia;zaa sanja vučić;goodbye;English;18.0;2016;4.994814814814813;1419;5YYyIMxoDPdIlJEAfYhKNQ
Ireland;nicky byrne;sunlight;English;;2016;6.109687500000002;1420;7KWgYOASFXo6RDvXnZbFvo
Macedonia;kaliopi;dona;Macedonian;;2016;6.067142857142857;1421;73MwyA75Di6zMWkBUFjNWa
Lithuania;donny montell;i've been waiting for this night;English;9.0;2016;5.807692307692307;1422;2FuzZfIyH3Hkr84RjV0Hvd
Australia;dami im;sound of silence;English;2.0;2016;6.21;1423;2b9czDPSLTI88694CIqCy3
Slovenia;manuella;blue and red;English;;2016;6.151000000000002;1424;0GScaDak7yjlJDGF0JnBZ7
Bulgaria;poli genova;if love was a crime;English (Bulgarian);4.0;2016;5.932000000000001;1425;1G5qDCiqei7ozj5ku43TuR
Denmark;lighthouse x;soldiers of love;English;;2016;5.825806451612903;1426;6DvcnTJVVqvwxecDM0qTGy
Ukraine;jamala;1944;English/Crimean Tatar;1.0;2016;5.706999999999999;1427;2nxTpjhxLXeyBOxYnRnT76
Norway;agnete;icebreaker;English;;2016;5.769583333333334;1428;6gqFUax8ZP7aDU7TOVLgR8
Georgia;nika kocharov & young georgian lolitaz;midnight gold;English;20.0;2016;5.531111111111111;1429;7ispaqlWe8OZ3h0Z2OY7bP
Albania;eneda tarifa;fairytale;English;;2016;6.110434782608697;1430;6NgYIETQ8U72CVfkzYhK30
Belgium;laura tesoro;what's the pressure;English;10.0;2016;6.4263157894736835;1431;4d3fHHVvWpwrKK727XE3b1
Italy;francesca michielin;no degree of separation;Italian/English;16.0;2016;6.01814814814815;1432;60hZOS486h0b6nvykyvR7a
Sweden;frans;if i were sorry;English;5.0;2016;5.4544827586206885;1433;6oDkCmfVcSd9NXAKk1b4Ll
Germany;jamie-lee;ghost;English;26.0;2016;5.587407407407409;1434;1Sao6YuJ4c133gemipn2lg
France;amir;j'ai cherché;French/English;6.0;2016;5.6096875;1435;1QJFNfsVQA7VfUJFKgQJzI
Spain;barei;say yay!;English;22.0;2016;5.142499999999999;1436;7DtnbNXYrv8ldS4xqA87tT
United Kingdom;joe & jake;you're not alone;English;24.0;2016;5.954736842105262;1437;3IYQ2ZLmZTG5sNiRzbaBp6
Sweden;robin bengtsson;i can't go on;English;5.0;2017;6.150000000000001;1438;715cD5vOTffsOR3MnNYveJ
Georgia;tamara gachechiladze;keep the faith;English;;2017;5.394444444444445;1439;5iPCSv3WAGikuSGzPkN6u2
Australia;isaiah;don't come easy;English;9.0;2017;5.042;1440;2xI4CmkT6Bl4s5b4qggcgU
Albania;lindita;world;English;;2017;5.370526315789473;1441;1Na9VFGQtiHJ3DVtc25eDG
Belgium;blanche;city lights;English;4.0;2017;5.3075;1442;5v3oL4EOGmzFjo7S3O7IFH
Montenegro;slavko kalezić;space;English;;2017;5.964285714285714;1443;1kP7vR2ZYmqUZUwrvLY0vp
Finland;norma john;blackbird;English;;2017;5.835;1444;0lrQglIvGuurQrFMnj8n5V
Azerbaijan;dihaj;skeletons;English;14.0;2017;5.604444444444443;1445;4NtcojKRdDC5AL9PtxlAQN
Portugal;salvador sobral;amar pelos dois;Portuguese;1.0;2017;5.962105263157895;1446;3UjSOJ00E1eLMcayBm827Q
Greece;demy;this is love;English;19.0;2017;6.120869565217391;1447;4HvQXfdUdcCeL8m7kKupmj
Poland;kasia moś;flashlight;English;22.0;2017;5.524375000000001;1448;26D88ZaVe08FKhUrdttd3t
Moldova;sunstroke project;hey mamma;English;3.0;2017;5.497916666666666;1449;0zjO0DICWS5RjNElawp0u6
Iceland;svala;paper;English;;2017;5.555384615384615;1450;3PrlWTKZyCMr1SjdRPo6FQ
Czech Republic;martina bárta;my turn;English;;2017;6.247272727272727;1451;3Be2w1wxlT4q7bOczrJ7hk
Cyprus;hovig;gravity;English;21.0;2017;6.277727272727273;1452;0KorbxavM6fFgvWaka7uvL
Armenia;artsvik;fly with me;English;18.0;2017;6.3842105263157904;1453;2m3jN95GjlFt51FeE4a55s
Slovenia;omar naber;on my way;English;;2017;5.349523809523809;1454;7pNrnIyhXCDjkwIQEeo9Jc
Latvia;triana park;line;English;;2017;6.6579999999999995;1455;3ETIdeZcAiPQkHS1h0lyiY
Serbia;tijana bogićević;in too deep;English;;2017;5.859999999999999;1456;5uzjoEMnrrraUxiQPH3ELe
Austria;nathan trent;running on air;English;16.0;2017;5.521562500000001;1457;1WpQu8U3quBeGnhpZn0r7N
Macedonia;jana burčeska;dance alone;English;;2017;5.455625;1458;2oim5PeJo33M01bXAUVKLu
Malta;claudia faniello;breathlessly;English;;2017;5.944736842105264;1459;2gVByOGeervnFoKHx6FjTz
Romania;ilinca feat. alex florea;yodel it!;English;7.0;2017;6.090303030303031;1460;0AqCeoa5ylnDbpMBMPSmzg
Netherlands;o'g3ne;lights and shadows;English;11.0;2017;5.358947368421052;1461;6xT4IlszcN5bCKlBydmJA8
Hungary;joci pápai;origo;Hungarian (Romani) (title Latin);8.0;2017;5.63162162162162;1462;0Skpofj44N2m60sa74Aufz
Denmark;anja;where i am;English;20.0;2017;5.7696;1463;5jlAXQ3tNhVFR151OGDq6b
Ireland;brendan murray;dying to try;English;;2017;5.794782608695653;1464;0sfa6ySA9tbYymLdAxXqWv
San Marino;valentina monetta  & jimmie wilson;spirit of the night;English;;2017;5.945106382978723;1465;4tUJtWQ0vjYR26MMoehEDk
Croatia;jacques houdek;my friend;English/Italian;13.0;2017;6.2330000000000005;1466;184cjXwukXedpuWm4Xl6X7
Norway;jowst;grab the moment;English;10.0;2017;5.163437500000001;1467;7CiatbFJpSnXnbCiVaGlm0
Switzerland;timebelle;apollo;English;;2017;5.593461538461539;1468;1YySksBo8O9tdgBcdPIIWw
Belarus;naviband;story of my life;Belarusian;17.0;2017;6.700714285714286;1469;7GNLUFoTE60RpQ6HsHBeY6
Bulgaria;kristian kostov;beautiful mess;English;2.0;2017;5.546666666666668;1470;5YCqzqb6yN6TsMOHb4FSVw
Lithuania;fusedmarc;rain of revolution;English;;2017;6.002999999999999;1471;7aB07bGdYvtMNHPRBQiInX
Estonia;koit toome  & laura;verona;English;;2017;5.86090909090909;1472;6xGmMh9K4Z3oeLCwzIuCaD
Israel;imri;i feel alive;English;23.0;2017;5.684999999999999;1473;0uvCOD3I7rr86UEQfXXijF
Italy;francesco gabbani;occidentali's karma;Italian (English/ Sanskrit/Ancient Greek);6.0;2017;6.187428571428572;1474;4dd6dCTW5epqioOWCAwd3W
Spain;manel navarro;do it for your lover;Spanish/English;26.0;2017;5.513529411764705;1475;69GGwFdMsJZtGQg1JX6Aep
United Kingdom;lucie jones;never give up on you;English;15.0;2017;5.59181818181818;1476;5ymIG60meaZOY7NtbbUAkf
Germany;levina;perfect life;English;25.0;2017;5.5038709677419355;1477;5DV2xw1HKMY5g1o9arIQE0
Ukraine;o.torvald;time;English;24.0;2017;5.036666666666668;1478;2KgKvtdNDOzPgUqVoY7lW2
France;alma;requiem;French/English;12.0;2017;5.926585365853658;1479;4Lhk5r1sm6MwH08JkwDZ0O
Azerbaijan;aisel;x my heart;English;;2018;6.151999999999999;1480;1P5JWcZw3zATCqSKMdHLKv
Iceland;ari ólafsson;our choice;English;;2018;5.512142857142856;1481;4mkSAA7yWJpykfJzhQj1SG
Albania;eugent bushpepa;mall;Albanian;11.0;2018;6.005102040816325;1482;6vGLWavGUuAs9vpZyprUl0
Belgium;sennek;a matter of time;English;;2018;5.091764705882352;1483;2776nsJOmk3psqGSocg6lK
Czech Republic;mikolas josef;lie to me;English;6.0;2018;5.886734693877551;1484;6zBdVVksaTQeAzwfszbovz
Lithuania;ieva zasimauskaitė;when we're old;English (Lithuanian);12.0;2018;5.661538461538461;1485;5vFiuwlEfEcEwPvS5e1icS
Israel;netta;toy;English (Hebrew/Japanese);1.0;2018;5.895862068965518;1486;0y8Xwpsof5R8TDftRyitKg
Belarus;alekseev;forever;English;;2018;6.172068965517241;1487;4whyGYFECu1EEQ0qAHJfjy
Estonia;elina nechayeva;la forza;Italian;8.0;2018;6.487619047619047;1488;32GxSibwrYAGW4ZZ45CGHA
Bulgaria;equinox;bones;English;14.0;2018;5.6571428571428575;1489;39qWzdNJSioJzfemhwXtDw
Macedonia;eye cue;lost and found;English;;2018;5.836470588235294;1490;5pr2apsKCrMhoAwQ5ESJym
Croatia;franka;crazy;English;;2018;6.264864864864865;1491;3C0Jl08p5aXD0MckMqBFmx
Austria;cesár sampson;nobody but you;English;3.0;2018;5.976000000000001;1492;41gxXNTTz6LNVY2LIKoRHn
Greece;yianna terzi;oniro mou;Greek;;2018;5.255384615384617;1493;6mbGnGMvppXe4effSc7mQv
Finland;saara aalto;monsters;English;25.0;2018;5.450454545454547;1494;0JGbU6NlewrskD138Wq04b
Armenia;sevak khanagyan;qami;Armenian;;2018;5.855263157894737;1495;2zO4FXoBn1hseWJmjzGpcM
Switzerland;zibbz;stones;English;;2018;5.106944444444443;1496;1Y5zsF5NQ1dvncnhPLb7K3
Ireland;ryan o'shaughnessy;together;English;16.0;2018;5.731034482758618;1497;7jYLCd1CafwKxbuXgRc2rs
Cyprus;eleni foureira;fuego;English (title Spanish);2.0;2018;5.793846153846155;1498;4TwWOcvjY1qt3QJvtveAGm
Norway;alexander rybak;that's how you write a song;English;15.0;2018;6.188888888888888;1499;4ixnY07lxMziatNqonUB8d
Romania;the humans;goodbye;English;;2018;5.693555555555556;1500;6uUkAk16Tf2AV681mvzTjR
Serbia;sanja ilić & balkanika;nova deca;Serbian (Torlakian dialect);19.0;2018;6.652500000000001;1501;7i4FrliOhykU6yxoue8Y9e
San Marino;jessika feat. jenifer brening;who we are;English;;2018;6.030666666666666;1502;1KUO2vYoX1P9k5EQZH3STD
Denmark;rasmussen;higher ground;English (Icelandic);9.0;2018;6.171;1503;6SCl3S0IAbPX7cLE6LjEOt
Russia;julia samoylova;i won't break;English;;2018;6.1463636363636365;1504;7K2nHcg1TvgLGW6NTupf3U
Moldova;doredos;my lucky day;English;10.0;2018;6.136818181818182;1505;0ThWw4Mty8Sb0mzaXyFvt8
Netherlands;waylon;outlaw in 'em;English;18.0;2018;5.701578947368421;1506;1Ryw2NPudgM1SRGZx91RbL
Australia;jessica mauboy;we got love;English;20.0;2018;5.673333333333334;1507;7kqujRWNEBhrpYt0eV0uw5
Georgia;ethno-jazz band iriao;for you;Georgian;;2018;6.792173913043478;1508;6qE0K1nD4YlXup3KCcP9Qw
Poland;gromee feat. lukas meijer;light me up;English;;2018;6.231111111111113;1509;5GXNpvgo6UtLhe2wYBYWy1
Malta;christabelle;taboo;English;;2018;5.233846153846153;1510;0peNaLeCABe70ovtFgGENP
Hungary;aws;viszlát nyár;Hungarian;21.0;2018;6.07;1511;5hC0zQNulh7R4R8pM6gCJ9
Latvia;laura rizzotto;funny girl;English;;2018;5.462424242424242;1512;04H79umZ9AxBj5MeTw6gAK
Sweden;benjamin ingrosso;dance you off;English;7.0;2018;6.2024;1513;0s3P5PImfDZYWIseR3b39D
Montenegro;vanja radovanović;inje;Montenegrin;;2018;5.795200000000001;1514;4AQX7Nbg0ZuiA763Y6N8Uk
Slovenia;lea sirk;hvala, ne!;Slovene (Portuguese);22.0;2018;6.394634146341462;1515;28J9JZ6boWgzviW7Ut3TMN
Ukraine;mélovin;under the ladder;English;17.0;2018;5.197692307692308;1516;1qzpOtBShCEN7w1ZBFW4MY
Spain;amaia & alfred;tu canción;Spanish;23.0;2018;5.691428571428571;1517;5tNSU1bJKn1S42NyGSzShg
Portugal;cláudia pascoal feat. isaura;o jardim;Portuguese;26.0;2018;6.464285714285714;1518;6PV9CN9a7wHYPQvlXqkWwM
United Kingdom;surie;storm;English;24.0;2018;6.553043478260867;1519;2b7BrJZRBRFOJtSHQWzjHx
Germany;michael schulte;you let me walk alone;English;4.0;2018;6.356666666666668;1520;1i31AKvYOI4b5FCU1cEHqU
France;madame monsieur;mercy;French;13.0;2018;5.706875000000001;1521;2LnEOvKciVfIxLTEqBysBq
Italy;ermal meta & fabrizio moro;non mi avete fatto niente;Italian;5.0;2018;5.836065573770491;1522;1SI3Ukzq9vbi6d50pnczCN
Cyprus;tamta;replay;English;13.0;2019;5.936;1523;2UOyQB26wSQzM0jiTcUg50
Montenegro;d mol;heaven;English;;2019;5.415555555555557;1524;3xiAusIKlqfnatyzEWzdtS
Finland;darude feat. sebastian rejman;look away;English;;2019;6.2425;1525;6Bo74efyPjwcWhXi7MGY6A
Poland;tulia;fire of love;Polish/English;;2019;5.967586206896553;1526;39eYn0el1oFv3btrhTX74G
Slovenia;zala kralj & gašper šantl;sebi;Slovene;15.0;2019;5.9175;1527;5g9mbYv5JL9AIa9lKw2EHJ
Czech Republic;lake malawi;friend of a friend;English;11.0;2019;6.200909090909092;1528;3iQcNu8EaUMXHYM4RF5srp
Hungary;joci pápai;az én apám;Hungarian;;2019;6.715882352941176;1529;4Ja2w69atZTtDXlVtPtX3q
Belarus;zena;like it;English;24.0;2019;5.782857142857142;1530;6sGcFdmfVhmq09Dy1rQgAh
Serbia;nevena božović;kruna;Serbian (English);18.0;2019;5.8740000000000006;1531;373eetJjYvFYWXYdPeVnjW
Belgium;eliot;wake up;English;;2019;4.862105263157895;1532;3D4sDAX4e9mAQyrULRP5vu
Georgia;oto nemsadze;keep on going;Georgian (Abkhaz);;2019;6.274666666666666;1533;2vs3g4jUwlyhOv12wAtu2L
Australia;kate miller-heidke;zero gravity;English;9.0;2019;5.066;1534;4m5FlWpaOri9OrDUj1EoTg
Iceland;hatari;hatrið mun sigra;Icelandic;10.0;2019;5.126111111111111;1535;6rECwxmHDJEJEkPfLHlGac
Estonia;victor crone;storm;English;20.0;2019;5.429523809523809;1536;5oFGpjPtk5R32LITfkkMLx
Portugal;conan osiris;telemóveis;Portuguese;;2019;5.034999999999999;1537;6funCK6yFDM0YzcfxJJBcp
Greece;katerine duska;better love;English;21.0;2019;5.240952380952381;1538;0QvJ5pNWlnMiLIxr7M6t3N
San Marino;serhat;say na na na;English (Turkish);19.0;2019;5.99142857142857;1539;1QiX3OmiJ3AyClandLJoEj
Armenia;srbuk;walking out;English;;2019;4.714333333333332;1540;5ilWyRLCjLzlWwjSwPasgl
Ireland;sarah mcternan;22;English;;2019;5.899199999999999;1541;3ZBeBPho2tpNn6vHcic9Jd
Moldova;anna odobescu;stay;English;;2019;5.6000000000000005;1542;78iJjN4KTvervCOGL5hZ6R
Switzerland;luca hänni;she got me;English;4.0;2019;5.9479999999999995;1543;3icYE8PMsnBoEecm5Bbd4x
Latvia;carousel;that night;English;;2019;6.081818181818182;1544;2lXVZV4hnSlH1emXHocEUO
Romania;ester peony;on a sunday;English;;2019;5.30758620689655;1545;0jg3pTMLPuhWkgTG3upomJ
Denmark;leonora;love is forever;English/French (German/Danish);12.0;2019;6.133333333333334;1546;43k9g3vEP8z0qgkoyHjWV3
Sweden;john lundvik;too late for love;English;5.0;2019;5.643157894736842;1547;6kIdjk3D8XxA2UafE0THGK
Austria;pænda;limits;English;;2019;5.525333333333333;1548;3BDkDocp0pBbZFfT0aNjdA
Croatia;roko;the dream;English/Croatian;;2019;6.270344827586207;1549;5H3QnsLU4k0tqGfiW6A6DW
Malta;michela;chameleon;English;14.0;2019;6.021538461538463;1550;51FonRnKwkcXS6e0qwpEeY
Lithuania;jurij veklenko;run with the lions;English;;2019;5.4325;1551;1PiZscF70USgrXYRNn9hoT
Russia;sergey lazarev;scream;English;3.0;2019;4.717391304347826;1552;2mWj2pfAgQMM8fuZwxxiHu
Albania;jonida maliqi;ktheju tokës;Albanian;17.0;2019;5.095;1553;78v85qYw9wW4ts7s4w8eOr
Norway;keiino;spirit in the sky;English (Sami);6.0;2019;5.644166666666667;1554;7B7O5jgFpWfc9orZw6FN4K
Netherlands;duncan laurence;arcade;English;1.0;2019;6.025833333333334;1555;1Xi84slp6FryDSCbzq4UCD
Macedonia;tamara todevska;proud;English;7.0;2019;5.504347826086957;1556;4L2YQw0JBuYcS8M1uQKQjC
Azerbaijan;chingiz;truth;English;8.0;2019;5.289565217391305;1557;1pBieHBODFbJ6hjmnummIb
Germany;s!sters;sister;English;25.0;2019;5.195862068965517;1558;5zxhu3Um0LPMSWy52Od7db
Israel;kobi marimi;home;English;23.0;2019;5.902105263157895;1559;1JnmG2nsO1BGJzN0TB3WP8
United Kingdom;michael rice;bigger than us;English;26.0;2019;5.955;1560;45VugoW5rHn10hloUhEPcV
France;bilal hassani;roi;French/English (Sign language);16.0;2019;5.889393939393939;1561;7pLQelyQgfxEqc26woIhBA
Italy;mahmood;soldi;Italian (Arabic);2.0;2019;5.7304999999999975;1562;4szQkW1CDHqbRZGltXJdd3
Spain;miki;la venda;Spanish;22.0;2019;6.106666666666667;1563;59jqxXIgTZtx9AETvM2fsf
Albania;arilena ara;fall from the sky;English;;2020;5.082333333333334;1564;0Y6JVcxzdXaNwHROjoyuww
Armenia;athena manoukian;chains on you;English;;2020;5.7789473684210515;1565;25TXiqSP8luMwjvKU00EO3
Australia;montaigne;don't break me;English;;2020;5.16076923076923;1566;6m5AwSncp7jlXRYhs4cwOT
Austria;vincent bueno;alive;English;;2020;5.907142857142857;1567;59940eiexBFY9heVQjk32S
Azerbaijan;efendi;cleopatra;English;;2020;5.243225806451612;1568;6Rt5DJgi7E2wETXueJF0XM
Belarus;val;da vidna;Belarusian;;2020;5.902727272727272;1569;2S82sSBWe86mi1EwNQl7kQ
Belgium;hooverphonic;release me;English;;2020;4.996666666666667;1570;3DxAwRSH1lhTneGRoWZyYq
Bulgaria;victoria;tears getting sober;English;;2020;4.737500000000001;1571;3kmCuZAff2sc7KIm2OPG1z
Croatia;damir kedžo;divlji vjetre;Croatian;;2020;5.435333333333334;1572;0wFGlWGDcXAwjUof6cN2Re
Cyprus;sandro;running;English;;2020;5.230588235294117;1573;00nykIwGMkrOZ815R6V9mD
Czech Republic;benny cristo;kemama;English;;2020;5.893333333333333;1574;5K1vB0WL1rV4pRc57nwomD
Denmark;ben & tan;yes;English;;2020;5.768461538461538;1575;1nAvS4GbkxR7iISU5ZfLPf
Estonia;uku suviste;what love is;English;;2020;6.387096774193548;1576;4UXWZHAS7DhRqLVxraGH1w
Finland;aksel;looking back;English;;2020;5.966153846153846;1577;5TvXXlRPYayUev7gSUD5az
France;tom leeb;mon alliée;French/English;;2020;6.64;1578;5P6BMAsTCvRGYqNVtNURnp
Georgia;tornike kipiani;take me as i am;English;;2020;6.5699999999999985;1579;3sXZrgz3ibbszEjYe8Ovqd
Germany;ben dolic;violent thing;English;;2020;5.290370370370368;1580;3yTA1UXHD9uUSjxWn55Bic
Greece;stefania;superg!rl;English;;2020;6.189333333333332;1581;5m2AUv2rdMUhGNJ0fDAbvD
Iceland;daði og gagnamagnið;think about things;English;;2020;5.9725925925925925;1582;77yGu0p7APK39lotu7CLk5
Ireland;lesley roy;story of my life;English;;2020;5.9799999999999995;1583;2yPBpQ622XzDq0BzbqpXeF
Israel;eden alene;feker libi;English/Amharic/Hebrew/Arabic;;2020;6.4280952380952385;1584;3Ll7yobqpKBCwxxNwTWeTL
Italy;diodato;fai rumore;Italian;;2020;5.754666666666667;1585;5OaBhC8NjdqDhHF9I6r9lS
Latvia;samanta tina;still breathing;English;;2020;5.963333333333332;1586;1z4UQTmCBD5THFpAnkHlJg
Lithuania;the roop;on fire;English;;2020;5.966315789473685;1587;5TXxwRgdIS4gPjUtKwTuSb
Malta;destiny;all of my love;English;;2020;6.747692307692309;1588;559RWsQqSe4fNUffI9P7mW
Moldova;natalia gordienko;prison;English;;2020;4.4825;1589;0Qnle48BiFwB0s4ppd93P2
Macedonia;vasil;you;English;;2020;6.207692307692307;1590;3Dx7BY1RKFU6v79Dbudss3
Norway;ulrikke;attention;English;;2020;5.785;1591;3Irt43mvuVwozBsllZlKCf
Poland;alicja;empires;English;;2020;5.381111111111111;1592;2unNElroipge43kWLeI4cC
Portugal;elisa;medo de sentir;Portuguese;;2020;5.8725;1593;7o7ARUQHGogYASmm1hppQr
Romania;roxen;alcohol you;English;;2020;5.063888888888888;1594;3tpax8RtnwwiFw5QxLWdUY
Russia;little big;uno;English/Spanish;;2020;6.830000000000001;1595;1ucAgkQ4EQDCSXQ2kEk99k
San Marino;senhit;freaky!;English;;2020;6.190399999999999;1596;46uNPDPgDia7wAS1v16qSl
Serbia;hurricane;hasta la vista;Serbian;;2020;5.926562500000002;1597;6QajQOil0F9RcOxiPQBY0M
Slovenia;ana soklič;voda;Slovenian;;2020;5.511764705882354;1598;1ZONLdkZ9qXNtgQhGSbz5u
Spain;blas cantó;universo;Spanish;;2020;4.9265;1599;5CXzYfLqlNS70pt7vuVVHw
Sweden;the mamas;move;English;;2020;5.792173913043479;1600;19LiotxKSVs7FeVMEdHz63
Switzerland;gjon's tears;répondez-moi;French;;2020;5.74105263157895;1601;7t86YtzrVP2wptfK0QmBkW
The Netherlands;jeangu macrooy;grow;English;;2020;5.550322580645162;1602;2VkQOOtMhEkd2KF2AAGVKD
Ukraine;go_a;solovey;Ukrainian;;2020;6.8053333333333335;1603;2GfDHCfAaKLBLrLESzgnwE
United Kingdom;james newman;my last breath;English;;2020;5.5390476190476186;1604;234vNSuQZn7vr8zHwuWLOm
Albania;anxhela peristeri;karma;Albanian;21.0;2021;5.8048;1605;7Ca1YA47yXQByUTX2jHMlN
Australia;montaigne;technicolour;English;;2021;6.382727272727272;1606;7ElfaDjFKXAlfscXU4rRXK
Austria;vincent bueno;amen;English;;2021;5.405500000000001;1607;0J6WXcQ52yXn5tThiO1e1W
Azerbaijan;efendi;mata hari;English/Azerbaijani;20.0;2021;5.689473684210526;1608;3wuvVwA5RaifHz1uqKac8P
Belgium;hooverphonic;the wrong place;English;19.0;2021;5.2366666666666655;1609;3qebp3gdFteTRN69PZ9zHu
Bulgaria;victoria;growing up is getting old;English;11.0;2021;4.959999999999999;1610;6R6i1KOZjiPYLZ8dC0cUgd
Croatia;albina;tick-tock;English/Croatian;;2021;5.496666666666666;1611;7MM3U3OPSbr5aYh36DTZAE
Cyprus;elena tsagrinou;el diablo;English;16.0;2021;6.143478260869566;1612;0DGduxy7YSuqXm272C2LM6
Czech Republic;benny cristo;omaga;English/Czech;;2021;6.18;1613;0AriSxYRoQelGrFEmS1BWm
Denmark;fyr og flamme;øve os på hinanden;Danish;;2021;5.711935483870969;1614;5KLDajsSLvA5n2zTwKycvF
Estonia;uku suviste;the lucky one;English;;2021;5.733124999999999;1615;3InK5DUf12FyQVqgQ2sIfw
Finland;blind channel;dark side;English;6.0;2021;4.76846153846154;1616;2vICdcAEc10WfqMeRxOF1I
France;barbara pravi;voilà;French;2.0;2021;5.545806451612905;1617;1uAOCTevGnyKIDbgZdOCnE
Georgia;tornike kipiani;you;English;;2021;6.917142857142856;1618;3OUWYnsRv8pDmoCyEq2SFo
Germany;jendrik;i don't feel hate;English;25.0;2021;4.88952380952381;1619;3fIV058x4lJ2OqjOWuBTPh
